featureType,xCoordinate,yCoordinate,ID
0,9595.773684525317,2979.563242298159,24
0,9595.773684525317,2979.563242298159,23
0,9481.599623406097,2995.593325313092,8
0,9510.573685441868,2999.923922926191,13
0,9564.271161052571,2983.611404797581,42
0,9476.031982234075,2994.476038690168,16
0,9595.773684525317,2979.563242298159,17
0,9595.773684525317,2979.563242298159,18
0,9595.773684525317,2979.563242298159,19
0,9554.400609804188,2972.537279663196,20
0,9554.400609804188,2972.537279663196,21
0,9554.420624890983,2972.4827941491403,22
0,9468.234104418343,2996.727847149646,15
0,9564.271161052571,2983.611404797581,43
0,9564.271161052571,2983.611404797581,44
0,9564.271161052571,2983.611404797581,45
0,9691.73523980435,2943.307358101214,66
0,9459.67887795724,3009.091611043255,67
0,9541.58150268597,2988.54412293846,70
0,9773.394125253872,2962.2128307242488,71
0,9616.15048841771,2958.883765815437,72
0,9435.644872927503,3021.565124329461,65
0,9355.158204394667,3074.3887190116657,73
0,9645.979417049526,2951.146822819509,75
0,9645.979417049526,2951.146822819509,76
0,9653.592044117466,2955.880279651841,77
0,9456.029571659692,3014.483230646396,79
0,9764.65720628263,3024.906754264984,80
0,9638.052108339183,2954.874855125121,81
0,9474.272100130072,2994.601021787716,74
0,9458.229229698576,2996.709611181677,83
0,9541.58150268597,2988.54412293846,64
0,9728.588018367522,2942.4365906306607,62
0,9564.271161052571,2983.611404797581,46
0,9564.271161052571,2983.611404797581,47
0,9482.704122612457,2994.8189638439394,49
0,9483.726337573098,2988.6463110760465,50
0,9446.946725271657,3000.477228881174,55
0,8978.99421837055,3326.597048609495,56
0,9646.640582083355,2955.017851800786,58
0,9638.120715608922,2956.780624972882,59
0,9280.961165692554,3055.64370066778,188
0,9230.450870264262,3074.075149318528,189
0,9259.570486459012,3062.757173710012,197
0,8960.712660480918,3191.6547774560904,198
0,9076.621028871014,3119.692089609972,184
0,9151.539611452125,3112.2063359533336,167
0,9694.248689926222,2960.8198918781727,170
0,9456.76468131974,3001.7679795896643,171
0,9085.737456126892,3114.56989531409,172
0,9043.841431665758,3139.299091025207,174
0,9379.910195065746,3060.9470314991645,175
0,9487.87891210864,2974.7327122948664,178
0,9233.376519979209,3075.798893071372,179
0,9485.12505855536,2976.293555480176,180
0,9229.580436378488,3075.113709933388,173
0,9154.678533036373,3105.7281195270216,6
0,9205.520522930845,3057.585386476847,2589
0,9047.57235503946,3117.527791557762,2471
1,9472.26558767877,2959.803681443568,5609
1,9815.3047162504,3007.413123625556,5578
1,9815.3047162504,3007.413123625556,5568
1,9815.3047162504,3007.413123625556,5563
1,9815.3047162504,3007.413123625556,5684
1,9815.3047162504,3007.413123625556,5687
1,9815.3047162504,3007.413123625556,5689
1,9506.132893656464,2956.850232996961,5466
1,9404.56033118402,3003.7662636163936,6186
1,8893.679132538025,3231.417193664772,6200
1,9805.969790963663,2990.990300129714,6387
1,9577.999064306256,2956.4950764012588,5844
1,8964.649405663842,3201.9558754604427,281
1,8915.450654395323,3221.787713017353,277
1,9344.440014220472,3075.7194998937475,275
1,9436.821204056478,3007.241216268963,273
1,9540.200461697044,2963.333564389899,272
1,9228.418449395052,3075.0054060748366,269
1,9554.400609804188,2972.537279663196,266
1,9743.977952189762,2944.4005154250567,265
1,8935.85392268026,3189.3435909057835,285
1,9243.354707916584,3074.923344218973,312
1,9082.73163486984,3135.7043814366416,311
1,9199.473298040208,3095.804973078334,310
