featureType,latitude,longitude,xCoordinate,yCoordinate
0,28.517454,81.773904,9092.843256719189,3170.996205619578
0,27.988744,82.301773,9151.539611452125,3112.2063359533336
0,27.134111,85.064907,9458.78609389121,3017.1754822103144
0,27.134111,85.064907,9458.78609389121,3017.1754822103144
0,26.627293,87.182473,9694.248689926222,2960.8198918781727
0,26.995548,85.046728,9456.76468131974,3001.7679795896643
0,28.01,81.71,9085.737456126892,3114.56989531409
0,27.655162,83.003611,9229.580436378488,3075.113709933388
0,28.232395,81.33322,9043.841431665758,3139.299091025207
0,27.527758,84.355559,9379.910195065746,3060.9470314991645
0,27.66897,85.319824,9487.13157100666,3076.6490894804965
0,28.476394,84.689749,9417.070427601093,3166.4305419315524
0,26.752414,85.326545,9487.87891210864,2974.7327122948664
0,27.661324,83.03775,9233.376519979209,3075.798893071372
0,26.766451,85.301779,9485.12505855536,2976.293555480176
0,28.091574,84.537946,9400.190704151668,3123.6405102601934
0,27.614192,87.14229,9689.780544188863,3070.5580537887604
0,27.982927,83.036138,9233.197273757456,3111.559515065042
0,28.056065,81.628014,9076.621028871014,3119.692089609972
0,28.210638,84.742003,9422.880807297975,3136.879823006201
0,27.682084,85.248921,9479.247517122782,3078.107299748513
0,27.970478,84.81031,9430.476199152286,3110.175249423244
0,27.480064,83.465689,9280.961165692554,3055.6437006677797
0,27.645822,83.011439,9230.450870264262,3074.075149318528
0,28.077048,84.085439,9349.874221480515,3122.025292755755
0,28.16527,83.932081,9332.82158992016,3131.8351315741907
0,27.729986,85.710132,9530.531840435446,3083.433759124641
0,26.823677,86.444011,9612.135462006428,2982.656796352337
0,27.938885,84.405448,9385.457598761115,3106.662268105762
0,27.244489,86.440379,9611.731602032854,3029.448955823488
0,27.612917,87.140313,9689.560711818887,3070.416280257289
0,27.544037,83.273318,9259.570486459012,3062.757173710012
0,28.703241,80.585625,8960.712660480918,3191.6547774560904
0,28.476394,84.689749,9417.070427601093,3166.4305419315524
1,26.94,87.2,9696.197603405522,2995.591323804412
1,28.577611,81.625428,9076.33347879071,3177.685358821735
1,27.099963,85.481648,9505.12557881599,3013.378397855256
1,27.795553,85.381001,9493.934143033995,3090.7244768799446
1,28.388533,84.00859,9341.32900256281,3156.6608444816347
1,26.979786,87.474891,9726.764087985772,3000.0153251558927
1,28.836253,80.32083,8931.268799880072,3206.445037038937
1,28.280643,83.598294,9295.706168940254,3144.6640238459536
1,28.244593,81.521302,9064.75519585892,3140.655446740417
1,28.150898,81.765099,9091.864185390084,3130.2370380884554
1,27.134066,85.065024,9458.799103697627,3017.170478438615
1,27.551445,83.797314,9317.836183241056,3063.5809057265947
1,27.721846,82.880109,9215.847640548032,3082.528632421754
1,28.403789,82.472576,9170.532038507796,3158.357234282524
1,27.653348,82.993155,9228.417782225491,3074.9120023364558
1,27.653348,82.993155,9228.417782225491,3074.9120023364558
1,27.614192,87.14229,9689.780544188863,3070.5580537887604
1,26.581065,87.325775,9710.18314530424,2955.6795728092475
1,27.649514,82.866163,9214.296916101048,3074.4856809877
1,27.685994,83.145563,9245.364778605535,3078.5420719116933
1,26.671957,87.667709,9748.204471351522,2965.786302081825
1,29.088706,80.483545,8949.361882369043,3234.516529855136
1,27.189105,87.022444,9676.45427701022,3023.290536006205
1,26.964309,85.555528,9513.340659996493,2998.294361276215
1,27.836156,85.574489,9515.449027000595,3095.2393244864934
1,28.683306,80.622346,8964.795849382233,3189.438106593432
1,27.666111,85.418889,9498.147096414705,3076.3311831852197
1,27.709914,84.394263,9384.213883506596,3081.2018545570318
1,27.945495,83.673413,9304.059020634866,3107.397266570883
1,27.836951,85.245928,9478.914710707337,3095.327724453176
1,26.663979,87.275163,9704.555347676907,2964.899188957055
1,27.227501,86.821086,9654.064288970923,3027.5599764096496
1,27.668969,85.319822,9487.13134861681,3076.6489782855697
1,27.745636,83.950022,9334.816538099092,3085.173959726628
1,27.541967,85.334297,9488.740895179988,3062.5270002118573
1,28.341564,83.545694,9289.85731579875,3151.438129972067
1,26.67064,87.666957,9748.120852766684,2965.639858363434
1,27.642012,84.120582,9353.781944787586,3073.6514966480127
1,28.220998,83.677781,9304.544720074451,3138.031802446239
1,26.540563,86.748517,9645.994984339255,2951.175955890289
1,27.615736,84.014912,9342.031976889057,3070.7297387555
1,27.87915,83.91983,9331.45934087384,3100.020039162649
1,27.633276,85.329992,9488.262201020783,3072.680097768845
1,27.171811,87.046981,9679.1826669253,3021.3675309448145
1,27.698891,84.430396,9388.231689791046,3079.976152880628
1,26.663701,87.637301,9744.823256022111,2964.8682767674472
1,26.876623,85.809504,9541.58150268597,2988.54412293846
1,26.813025,87.28149,9705.258877977789,2981.47234799372
